epoch,accuracy,val_accuracy,loss,val_loss
1,0.129,0.2478,3.1487,2.6797
2,0.2185,0.3186,2.4151,2.4942
3,0.2529,0.3009,2.1144,2.31
4,0.3382,0.3717,1.8052,2.1479
5,0.3413,0.3894,1.6927,2.0184
6,0.4298,0.4248,1.4587,1.8869
7,0.4433,0.4248,1.3784,1.8077
8,0.4443,0.4248,1.3073,1.7817
9,0.4641,0.4513,1.2603,1.7457
10,0.4818,0.4248,1.1258,1.7804
11,0.4984,0.4779,1.1354,1.6857
12,0.5182,0.469,1.0679,1.6918
13,0.5286,0.469,1.0356,1.7366
14,0.5338,0.4956,0.99,1.6809
15,0.5494,0.4602,0.9046,1.6322
16,0.5536,0.4602,0.8294,1.7231
17,0.5796,0.4425,0.829,1.7456
18,0.5765,0.4867,0.7963,1.712
19,0.5973,0.4425,0.7601,1.6849
20,0.616,0.4867,0.6949,1.665
21,0.5754,0.4602,0.8075,1.6316
22,0.5723,0.4779,0.8604,1.6216
23,0.6171,0.469,0.8037,1.6159
24,0.5765,0.4867,0.7922,1.6088
25,0.5848,0.4779,0.7486,1.6084
26,0.5775,0.4779,0.8342,1.5981
27,0.5921,0.4867,0.7418,1.596
28,0.5994,0.4956,0.772,1.5906
29,0.6025,0.4867,0.7548,1.5869
30,0.5838,0.4956,0.7774,1.5802
31,0.5879,0.5044,0.7833,1.5868
32,0.6087,0.5044,0.7273,1.5818
33,0.6056,0.5044,0.7356,1.5808
34,0.6056,0.4956,0.7537,1.5854
35,0.6108,0.4956,0.7409,1.5815
36,0.6077,0.4956,0.6876,1.5853
37,0.6223,0.5044,0.7847,1.5815
38,0.6015,0.5044,0.7263,1.5785
39,0.642,0.5044,0.7072,1.5809
40,0.589,0.5044,0.8091,1.5762
41,0.6316,0.5133,0.715,1.5728
42,0.6004,0.4956,0.7148,1.5692
43,0.6212,0.5044,0.7107,1.5677
44,0.6067,0.5044,0.7178,1.5683
45,0.6056,0.5133,0.7611,1.5646
46,0.6067,0.5133,0.6724,1.5625
47,0.6108,0.5133,0.7369,1.5647
48,0.6264,0.5133,0.6706,1.5629
49,0.6306,0.5133,0.6684,1.565
50,0.5942,0.5133,0.7754,1.5666
51,0.641,0.5133,0.6493,1.5705
52,0.6015,0.5133,0.7462,1.5651
53,0.5994,0.5221,0.7172,1.5635
54,0.6223,0.5221,0.7432,1.5589
55,0.6254,0.5133,0.689,1.5568
56,0.6191,0.5221,0.6991,1.5579
57,0.6296,0.5133,0.6904,1.5559
58,0.6056,0.5133,0.7089,1.5566
59,0.6691,0.5133,0.658,1.5568
60,0.6316,0.5133,0.6932,1.5511
61,0.6223,0.5133,0.6877,1.5534
62,0.6098,0.5133,0.6957,1.5506
63,0.6202,0.5133,0.648,1.5564
64,0.6171,0.5133,0.6788,1.5497
65,0.6139,0.5133,0.683,1.5536
66,0.6483,0.5133,0.6634,1.5504
67,0.6285,0.5133,0.6726,1.5501
68,0.6285,0.5133,0.6901,1.5505
69,0.6119,0.5133,0.718,1.5541
70,0.6348,0.5133,0.6435,1.5568
